RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
11,dota2_paragon_ru,Russian,personality,Dota 2,,10.7,1629,0,1.0,2291,352000,0,1,2.8,Tuesday,Sunday
51,zubarefff,Russian,personality,Just Chatting,Virtual Casino,2.9,3009,0,1.1,138,1820000,464,14,4.5,Sunday,Sunday
73,bratishkinoff,Russian,personality,Just Chatting,Counter-Strike,4.9,1533,60566,1.8,8865,2900000,114000000,482,4.7,Thursday,Wednesday
86,recrent,Russian,personality,PUBG: BATTLEGROUNDS,Call of Duty: Warzone,7.7,5270,3073,1.6,16864,1270000,74300000,157,6.3,Tuesday,Wednesday
98,rostislav_999,Russian,personality,Dota 2,Just Chatting,3.9,114,7175,1.1,2873,868000,5470000,14,3.2,Monday,Monday
100,buster,Russian,personality,Just Chatting,Fortnite,3.2,2963,85485,1.7,4024,3950000,114000000,125,3.5,Wednesday,Friday
106,silvername,Russian,personality,Hearthstone,Dota 2,6.2,3430,694,1.2,12717,862000,159000000,115,5.3,Thursday,Wednesday
110,shadowkekw,Russian,personality,Just Chatting,Counter-Strike,2.3,6190,10742,1.4,2093,562000,9740000,63,4.3,Saturday,Sunday
123,dkincc,Russian,personality,Just Chatting,Grand Theft Auto V,5.0,2739,1608,1.0,8130,471000,370000,10,0.5,Wednesday,Sunday
131,dmitry_lixxx,Russian,personality,Just Chatting,Counter-Strike,4.2,8330,26405,2.2,6441,1410000,44700000,422,4.9,Saturday,Friday
151,stray228,Russian,personality,Dota 2,The Last of Us Part II,6.0,7340,55905,1.0,12578,1600000,120000000,14,5.4,Wednesday,Thursday
163,bysl4m,Russian,personality,Counter-Strike,VALORANT,6.1,6420,1491,1.1,2753,314000,2770000,13,1.2,Friday,Saturday
167,lenagol0vach,Russian,personality,Hearthstone,Dota 2,5.9,3810,18774,1.4,7782,585000,29500000,30,3.4,Sunday,Sunday
169,dreadztv,Russian,personality,Dota 2,Mount & Blade II: Bannerlord,8.2,2340,94945,2.1,11445,715000,199000000,309,3.6,Wednesday,Thursday
174,m0nesyof,Russian,personality,Counter-Strike,Dota 2,3.1,264,31467,1.1,1152,1000000,11900000,13,1.2,Saturday,Monday
